laptop_name,laptop_url,laptop_price,laptop_manufacturer,laptop_resolution,laptop_processor_class,laptop_ram_type,laptop_ram,laptop_storage,laptop_graphic_card,laptop_graphic_card_memory
Lenovo Ideapad S540-14API 81NH003TPB Mineral Grey,https://www.senukai.lt/p/lenovo-ideapad-s540-14api-81nh003tpb-mineral-grey/co3n?cat=5ei&index=11,635.28,Lenovo,1920 x 1080,AMD Ryzen 5,DDR4,0,0,Radeon Vega 8,Dynamic
Lenovo IdeaPad 3-15 ILL Grey 81WE00H6PB,https://www.senukai.lt/p/lenovo-ideapad-3-15-ill-grey-81we00h6pb/ey02?cat=5ei&index=12,636.49,Lenovo,1920 x 1080,Intel® Core™ i3,DDR4,0,0,Intel UHD Graphics,Dynamic
Lenovo IdeaPad 3-15IIL Grey 81WE0063PB PL,https://www.senukai.lt/p/lenovo-ideapad-3-15iil-grey-81we0063pb-pl/ep8p?cat=5ei&index=13,619.94,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,0,256,Intel UHD Graphics,Dynamic
Lenovo IdeaPad 3-17 AMD Platinum Gray 81W20017PB PL,https://www.senukai.lt/p/lenovo-ideapad-3-17-amd-platinum-gray-81w20017pb-pl/ekkb?cat=5ei&index=14,565.08,Lenovo,1600 x 900,AMD Athlon,DDR4,0,256,AMD Graphics,Dynamic
Asus ZenBook 14 UX425JA-HM254T Pine Grey,https://www.senukai.lt/p/asus-zenbook-14-ux425ja-hm254t-pine-grey/f2lo?cat=5ei&index=15,909,Asus,1920 x 1080,Intel® Core™ i5,LPDDR3,0,0,Intel UHD Graphics,Dynamic
Asus VivoBook Flip 14 Bespoke Black TM420IA-EC134T,https://www.senukai.lt/p/asus-vivobook-flip-14-bespoke-black-tm420ia-ec134t/f7bj?cat=5ei&index=16,607,Asus,1920 x 1080,AMD Ryzen 3,DDR4,0,0,Radeon,Dynamic
Lenovo Legion 5-15 81Y600DTLT,https://www.senukai.lt/p/lenovo-legion-5-15-81y600dtlt/f3as?cat=5ei&index=17,989.99,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,0,0,GeForce GTX 1660 Ti,6 GB GDDR6
Lenovo IdeaPad L340-15IRH Gaming 81LK01CGPB PL,https://www.senukai.lt/p/lenovo-ideapad-l340-15irh-gaming-81lk01cgpb-pl/ezyj?cat=5ei&index=18,989.99,Lenovo,1920 x 1080,Intel® Core™ i7,DDR4,0,0,GeForce GTX 1050,3 GB GDDR5
Lenovo IdeaPad 3-15IMH 81Y400JJPB,https://www.senukai.lt/p/lenovo-ideapad-3-15imh-81y400jjpb/ezx3?cat=5ei&index=19,894,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,0,0,GeForce GTX 1650 Ti,4 GB GDDR6
Asus ZenBook 13 UX325JA-AH090R EN,https://www.senukai.lt/p/asus-zenbook-13-ux325ja-ah090r-en/eyzp?cat=5ei&index=20,906.06,Asus,1920 x 1080,Intel® Core™ i5,LPDDR4X,0,512,Intel UHD Graphics,Dynamic
Lenovo Ideapad S540-14API Grey 81NH004APB PL,https://www.senukai.lt/p/lenovo-ideapad-s540-14api-grey-81nh004apb-pl/cyfc?cat=5ei&index=21,753.32,Lenovo,1920 x 1080,AMD Ryzen 5,DDR4,0,0,Radeon Vega 8,Dynamic
Lenovo ThinkPad L13 Black 20R30005MH,https://www.senukai.lt/p/lenovo-thinkpad-l13-black-20r30005mh/dddq?cat=5ei&index=22,891.07,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,0,0,Intel UHD Graphics,Dynamic
Nešiojamas kompiuteris Asus Tuf gaming FX505DT,https://www.senukai.lt/p/nesiojamas-kompiuteris-asus-tuf-gaming-fx505dt/eoog?cat=5ei&index=23,849,Asus,1920 x 1080,AMD Ryzen 5,DDR4,0,256,GeForce GTX 1650,4 GB GDDR5
ASUS TUF Gaming FX505DT-BQ051 PL,https://www.senukai.lt/p/asus-tuf-gaming-fx505dt-bq051-pl/eqmr?cat=5ei&index=24,939.99,Asus,1920 x 1080,AMD Ryzen 5,DDR4,0,0,GeForce GTX 1650,4 GB GDDR5
Asus ROG Strix SCAR III G531GU-AZ419T PL,https://www.senukai.lt/p/asus-rog-strix-scar-iii-g531gu-az419t-pl/do5x?cat=5ei&index=25,1,Asus,1920 x 1080,Intel® Core™ i7,DDR4,0,1,GeForce GTX 1660 Ti,6 GB GDDR6
Huawei MateBook D14 R5/8GB/512GB/W10,https://www.senukai.lt/p/huawei-matebook-d14-r5-8gb-512gb-w10/do63?cat=5ei&index=26,707.95,Huawei,1920 x 1080,AMD Ryzen 5,DDR4,0,512,Radeon Vega 8,Dynamic
